model,variant,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,engine_capacity,battery_capacity,charging_time,seating_capacity,ground_clearance,boot_space
Tata Tiago,XZ+ Lux,Green,Electric,Automatic,680384.04,2023-06-01,2023-06-17,West Bengal,24.6,0,48.0,8.5,5,181.7,257
Tata Nexon,XZ+ Lux,Red,Diesel,Manual,1089232.04,2024-08-09,2024-10-26,Gujarat,20.3,1.8,0,0,5,168.5,434
Tata Harrier,XM,Red,Petrol,Automatic,1512956.37,2023-12-23,2024-01-12,Delhi,15.3,1.9,0,0,5,180.4,420
Tata Harrier,XZ,Red,Petrol,Manual,1644731.34,2023-01-28,2023-04-25,Madhya Pradesh,14.2,1.1,0,0,7,179.9,367
Tata Nexon,XE,Black,Petrol,Manual,895409.3,2024-06-02,2024-06-17,Rajasthan,19.0,1.3,0,0,5,168.5,267
Tata Nexon,XZ,Green,Diesel,Manual,751471.95,2023-05-26,2023-08-28,Rajasthan,21.3,1.1,0,0,5,201.6,288
Tata Tigor,XM,Grey,CNG,Manual,837630.12,2023-04-04,2023-09-25,Gujarat,20.5,1.0,0,0,5,185.1,372
Tata Harrier,XZ+,Grey,CNG,Manual,2342765.02,2024-06-20,2024-11-21,Kerala,16.2,1.4,0,0,5,172.3,372
Tata Safari,XZ+ Lux,Blue,Diesel,Manual,1889281.97,2022-09-20,2022-12-27,West Bengal,14.6,1.2,0,0,5,197.1,295
Tata Punch,XZ+,Red,Electric,Manual,995064.8,2024-04-25,2024-09-05,Tamil Nadu,20.6,0,31.4,9.3,5,199.3,420
Tata Safari,XM,Grey,Petrol,Automatic,1921717.81,2023-03-21,2023-07-19,Rajasthan,14.9,1.9,0,0,7,191.0,371
Tata Punch,XZ,Green,Petrol,Manual,629356.28,2023-11-18,2024-02-05,Odisha,19.0,1.1,0,0,5,197.3,338
Tata Tigor,XZ+,Silver,Petrol,Automatic,864971.72,2023-08-03,2023-10-05,Karnataka,24.6,1.6,0,0,5,177.4,393
Tata Altroz,XZ+,Grey,Diesel,Automatic,685419.21,2024-07-16,2024-08-10,Maharashtra,19.1,2.0,0,0,5,171.6,377
Tata Altroz,XZ,Bronze,Diesel,Automatic,944843.64,2023-07-15,2023-10-11,Telangana,21.6,1.9,0,0,5,171.9,347
Tata Nexon,XE,Bronze,Diesel,Manual,1294648.38,2024-05-08,2024-09-11,Delhi,19.2,1.8,0,0,5,200.1,432
Tata Safari,XZ,Copper,CNG,Manual,2489636.74,2023-01-17,2023-02-26,Telangana,15.2,1.3,0,0,7,184.0,418
Tata Nexon,XE,Orange,Petrol,Automatic,1108200.9,2023-12-24,2024-04-17,Gujarat,18.3,1.9,0,0,5,197.2,344
Tata Altroz,XZ+ Lux,Red,Petrol,Automatic,909426.66,2022-11-20,2023-02-27,Telangana,20.1,1.5,0,0,5,208.4,312
Tata Safari,XZ,Bronze,Petrol,Manual,1614874.02,2024-03-20,2024-04-24,Rajasthan,15.6,1.5,0,0,7,177.4,385
Tata Altroz,XZ+,Green,Diesel,Automatic,611169.03,2024-05-28,2024-08-16,Uttar Pradesh,21.3,1.6,0,0,5,202.8,381
Tata Nexon,XZ,Copper,Diesel,Manual,987008.06,2023-04-20,2023-10-02,Delhi,17.8,1.3,0,0,5,201.4,359
Tata Harrier,XM,Orange,Petrol,Manual,1869188.44,2022-09-25,2022-11-07,Telangana,15.6,1.8,0,0,5,189.8,349
Tata Tigor,XM,Black,CNG,Manual,818066.64,2024-02-20,2024-03-14,Kerala,24.8,1.8,0,0,5,197.0,378
Tata Harrier,XZ+ Lux,Green,CNG,Manual,1513021.53,2024-08-07,2024-08-19,Delhi,16.1,1.4,0,0,5,170.8,342
Tata Safari,XE,Blue,Electric,Manual,2396058.77,2023-04-02,2023-06-08,Maharashtra,14.8,0,32.3,8.3,5,186.5,334
Tata Punch,XZ,White,Diesel,Manual,613122.09,2023-02-02,2023-04-23,Rajasthan,20.7,1.9,0,0,5,197.1,331
Tata Nexon,XZ+,Black,CNG,Manual,1061403.89,2023-08-11,2023-10-30,Punjab,21.4,1.0,0,0,5,187.7,251
Tata Nexon,XZ+,Black,Diesel,Manual,752151.8,2023-01-07,2023-03-19,Tamil Nadu,18.1,1.5,0,0,5,177.7,374
Tata Safari,XM,Silver,Diesel,Automatic,2486519.1,2023-05-04,2023-07-31,Odisha,16.2,1.9,0,0,5,180.7,363
Tata Punch,XZ+,Bronze,Electric,Manual,669918.29,2024-07-31,2024-11-29,Bihar,20.5,0,34.5,6.6,5,202.9,312
Tata Safari,XM,White,Diesel,Automatic,1763483.13,2023-06-15,2023-11-20,Kerala,15.0,1.0,0,0,7,192.6,386
Tata Tiago,XZ+,Orange,Diesel,Manual,639618.63,2023-11-27,2024-04-06,Uttar Pradesh,21.3,1.3,0,0,5,203.6,343
Tata Tiago,XZ,White,Petrol,Automatic,530278.81,2023-06-19,2023-08-19,Rajasthan,21.7,1.9,0,0,5,170.3,381
Tata Nexon,XZ,Blue,Petrol,Manual,1374044.22,2024-09-17,2024-12-15,Madhya Pradesh,20.4,1.9,0,0,5,187.2,438
Tata Punch,XM,Silver,Diesel,Automatic,980271.52,2022-12-20,2023-05-03,Madhya Pradesh,22.0,2.0,0,0,5,202.2,417
Tata Altroz,XZ+ Lux,Orange,Diesel,Automatic,822602.37,2023-05-19,2023-09-03,Bihar,20.0,1.0,0,0,5,204.4,434
Tata Harrier,XZ+ Lux,Bronze,Diesel,Automatic,1678394.16,2023-05-04,2023-07-21,Bihar,14.7,1.9,0,0,7,173.7,384
Tata Harrier,XZ+ Lux,Silver,Electric,Manual,1732272.64,2023-07-21,2023-12-13,Maharashtra,15.9,0,36.5,9.5,7,174.0,308
Tata Altroz,XZ+ Lux,White,Electric,Manual,631436.9,2024-03-13,2024-05-13,West Bengal,20.1,0,47.9,8.7,5,195.9,417
Tata Harrier,XZ+,Green,Petrol,Manual,2205445.69,2024-03-27,2024-05-27,Rajasthan,14.6,1.7,0,0,5,208.8,271
Tata Nexon,XZ+ Lux,Copper,Diesel,Automatic,944986.65,2023-02-05,2023-05-04,Odisha,18.0,1.2,0,0,5,191.3,277
Tata Harrier,XE,White,Petrol,Automatic,2261991.89,2023-09-11,2024-02-04,Odisha,15.9,1.4,0,0,7,205.8,321
Tata Punch,XZ+,Red,Petrol,Automatic,923254.42,2024-06-13,2024-06-19,Rajasthan,23.2,1.1,0,0,5,204.0,334
Tata Harrier,XE,Blue,Petrol,Automatic,2248896.04,2024-06-16,2024-10-01,Bihar,16.4,1.1,0,0,5,196.7,335
Tata Tiago,XZ+ Lux,White,Diesel,Manual,601641.95,2024-07-06,2024-09-25,Uttar Pradesh,22.4,1.2,0,0,5,188.3,293
Tata Altroz,XE,Black,Petrol,Manual,782542.78,2023-08-29,2023-12-21,West Bengal,20.7,2.0,0,0,5,191.5,253
Tata Safari,XZ+ Lux,Red,Petrol,Automatic,1760444.37,2024-05-22,2024-09-13,Odisha,14.7,1.8,0,0,5,169.0,261
Tata Safari,XZ+ Lux,Green,Electric,Automatic,1760554.34,2024-07-08,2024-08-08,Karnataka,14.7,0,36.1,6.1,7,182.5,311
Tata Nexon,XZ,White,Petrol,Manual,1307631.97,2023-12-14,2024-02-19,Odisha,21.9,1.6,0,0,5,195.3,364
Tata Nexon,XM,Grey,Electric,Automatic,978310.9,2024-01-25,2024-02-18,Rajasthan,21.3,0,31.0,7.3,5,169.7,334
Tata Harrier,XZ+,Silver,CNG,Automatic,1605431.01,2023-12-12,2023-12-24,West Bengal,17.0,1.6,0,0,5,176.2,421
Tata Harrier,XZ+ Lux,Black,Petrol,Manual,1597165.75,2023-05-30,2023-09-28,Telangana,14.7,1.0,0,0,7,182.2,391
Tata Harrier,XZ,Grey,Diesel,Manual,1745676.52,2023-07-05,2023-09-20,Telangana,14.8,1.8,0,0,7,197.5,368
Tata Punch,XZ+,Red,Diesel,Manual,623665.38,2023-02-02,2023-05-22,Delhi,23.4,1.2,0,0,5,184.0,309
Tata Nexon,XE,Green,Petrol,Manual,727431.54,2022-09-26,2023-03-09,Gujarat,17.2,1.5,0,0,5,207.1,316
Tata Tigor,XZ+,Blue,Electric,Automatic,824033.81,2024-03-06,2024-08-26,Bihar,20.2,0,43.4,7.1,5,172.9,431
Tata Safari,XZ+,Blue,Electric,Manual,2396755.75,2024-03-23,2024-05-07,Haryana,15.7,0,40.4,8.3,7,168.1,339
Tata Punch,XM,Black,Electric,Automatic,637580.59,2024-09-01,2025-02-14,West Bengal,20.0,0,40.8,8.6,5,172.8,271
Tata Punch,XE,Green,Diesel,Manual,647461.12,2024-06-19,2024-09-14,Delhi,19.3,1.9,0,0,5,165.0,373
Tata Safari,XZ+,Black,Petrol,Manual,1693785.88,2023-02-25,2023-08-07,Uttar Pradesh,15.9,1.5,0,0,7,177.1,352
Tata Altroz,XE,Green,Diesel,Automatic,729271.93,2023-06-12,2023-08-08,Telangana,19.7,1.4,0,0,5,185.0,357
Tata Punch,XZ+,Red,Diesel,Automatic,688923.87,2022-12-06,2023-05-22,Telangana,21.1,1.1,0,0,5,209.7,343
Tata Tigor,XM,Bronze,Electric,Manual,613351.09,2024-02-15,2024-04-04,Haryana,19.2,0,37.3,8.2,5,208.2,390
Tata Nexon,XZ+ Lux,Grey,Diesel,Manual,1139925.85,2022-10-18,2022-12-26,Odisha,19.2,1.8,0,0,5,209.9,448
Tata Tigor,XM,Bronze,Electric,Manual,762309.32,2023-01-03,2023-01-23,Maharashtra,20.1,0,47.2,8.2,5,186.0,280
Tata Safari,XM,Red,Electric,Manual,2088178.65,2023-09-24,2023-11-04,Haryana,14.4,0,46.8,9.3,7,184.9,344
Tata Punch,XM,Green,Petrol,Automatic,955438.58,2023-09-11,2024-02-08,Odisha,23.0,1.6,0,0,5,204.6,393
Tata Altroz,XZ+,Silver,Petrol,Manual,928984.64,2023-01-17,2023-05-13,Punjab,23.4,1.8,0,0,5,189.8,399
Tata Tigor,XZ+ Lux,Green,Petrol,Manual,642752.86,2024-02-17,2024-05-04,Kerala,24.9,1.1,0,0,5,173.2,354
Tata Harrier,XE,Red,Diesel,Manual,1754547.62,2024-03-25,2024-08-08,Gujarat,15.8,1.3,0,0,5,205.2,374
Tata Safari,XZ+ Lux,Orange,Electric,Manual,2189877.14,2023-09-27,2024-02-03,Uttar Pradesh,16.1,0,35.5,7.9,5,169.3,258
Tata Tigor,XZ,Red,Petrol,Manual,738123.33,2023-04-24,2023-10-15,Karnataka,23.2,1.3,0,0,5,176.7,329
Tata Nexon,XZ+ Lux,White,Diesel,Manual,1115666.49,2023-09-08,2023-11-30,Gujarat,18.5,1.6,0,0,5,177.0,264
Tata Harrier,XZ+,White,Diesel,Automatic,1647641.25,2024-02-08,2024-07-11,Uttar Pradesh,16.7,1.4,0,0,7,170.8,376
Tata Altroz,XM,Red,Petrol,Manual,891099.3,2024-06-14,2024-10-13,Odisha,22.9,1.9,0,0,5,182.4,277
Tata Safari,XZ,Blue,Diesel,Automatic,1766037.98,2023-12-15,2024-05-14,Kerala,15.6,1.7,0,0,7,180.8,282
Tata Tigor,XE,White,Electric,Manual,648249.52,2023-12-20,2024-03-30,Madhya Pradesh,20.4,0,40.1,7.6,5,191.0,439
Tata Tigor,XZ+,Black,Petrol,Automatic,761729.33,2023-07-05,2023-10-06,Madhya Pradesh,20.9,1.5,0,0,5,186.1,365
Tata Harrier,XM,Red,Diesel,Manual,1800871.05,2024-09-13,2024-12-11,Uttar Pradesh,14.5,1.1,0,0,5,205.7,284
Tata Safari,XM,Copper,Diesel,Automatic,1724695.97,2023-01-10,2023-04-24,Kerala,16.0,1.8,0,0,5,198.8,428
Tata Tigor,XZ+,White,Diesel,Manual,795160.13,2024-03-19,2024-05-25,Madhya Pradesh,23.9,1.9,0,0,5,192.6,265
Tata Safari,XE,Bronze,Diesel,Automatic,2142009.74,2023-12-23,2024-04-15,Rajasthan,15.2,1.5,0,0,7,186.1,383
Tata Safari,XZ+,Green,CNG,Manual,2280038.87,2024-05-16,2024-06-24,Telangana,16.2,1.1,0,0,7,188.9,254
Tata Nexon,XZ,Grey,Diesel,Manual,1247079.51,2024-01-24,2024-03-09,Kerala,20.1,1.2,0,0,5,206.3,390
Tata Harrier,XM,Grey,Electric,Manual,1502559.11,2024-02-13,2024-02-25,Punjab,16.7,0,40.2,9.1,7,208.2,410
Tata Nexon,XE,Green,Petrol,Manual,980590.6,2023-11-06,2024-04-22,Haryana,17.7,1.4,0,0,5,176.6,354
Tata Punch,XM,Black,Diesel,Manual,956101.42,2023-07-28,2023-12-19,Haryana,21.2,1.7,0,0,5,186.3,278
Tata Punch,XZ+ Lux,Blue,Petrol,Automatic,639407.99,2022-11-18,2023-02-11,Uttar Pradesh,19.1,1.9,0,0,5,197.6,302
Tata Altroz,XZ+ Lux,Red,Petrol,Manual,609478.0,2023-08-06,2023-10-19,Punjab,24.1,1.3,0,0,5,182.4,367
Tata Punch,XE,Copper,Diesel,Manual,982697.6,2023-12-28,2024-05-07,Tamil Nadu,20.0,1.6,0,0,5,166.5,443
Tata Punch,XZ,Copper,Petrol,Automatic,852118.42,2023-08-11,2024-01-10,Madhya Pradesh,22.6,1.9,0,0,5,205.3,291
Tata Tiago,XZ+,Red,Petrol,Automatic,607436.26,2024-07-03,2024-07-11,Kerala,19.6,1.3,0,0,5,200.1,340
Tata Harrier,XZ+ Lux,Bronze,Petrol,Manual,2305909.89,2022-10-17,2023-02-18,Rajasthan,15.0,1.1,0,0,5,175.5,289
Tata Punch,XZ+ Lux,Black,Petrol,Automatic,944784.99,2024-08-06,2024-11-04,Kerala,22.2,1.9,0,0,5,189.3,435
Tata Tiago,XM,Copper,Electric,Manual,786317.43,2023-11-12,2023-11-14,Telangana,20.5,0,32.7,9.8,5,199.5,372
Tata Tigor,XZ+ Lux,Orange,Petrol,Automatic,778147.84,2024-03-14,2024-04-29,Kerala,22.6,1.8,0,0,5,209.7,393
Tata Punch,XZ,Green,CNG,Automatic,796281.85,2024-07-19,2024-11-21,Rajasthan,23.2,1.9,0,0,5,185.6,260
Tata Nexon,XE,Orange,Diesel,Manual,1374267.58,2023-02-02,2023-05-03,Karnataka,17.5,1.3,0,0,5,185.2,400
Tata Tiago,XZ+,Red,Petrol,Manual,789654.56,2023-03-01,2023-04-12,Telangana,20.0,1.1,0,0,5,206.0,444
Tata Safari,XZ+ Lux,Blue,Diesel,Manual,1933637.68,2023-07-21,2023-08-07,Maharashtra,14.6,1.4,0,0,5,178.1,299
Tata Harrier,XM,Bronze,Petrol,Automatic,1408781.54,2023-06-14,2023-10-28,Haryana,14.7,1.5,0,0,5,165.2,331
Tata Safari,XZ+ Lux,Grey,Diesel,Manual,1632835.35,2023-08-27,2023-11-23,Madhya Pradesh,14.7,1.6,0,0,7,205.2,297
Tata Nexon,XZ+,Blue,Diesel,Manual,1359750.26,2022-12-08,2023-01-09,West Bengal,16.7,1.5,0,0,5,174.9,274
Tata Altroz,XZ+,Copper,Diesel,Manual,707539.03,2023-02-26,2023-07-05,Delhi,24.9,1.9,0,0,5,180.7,334
Tata Tiago,XM,Green,Petrol,Automatic,572308.75,2023-11-04,2023-11-19,Gujarat,24.9,1.7,0,0,5,176.1,419
Tata Safari,XZ+ Lux,Bronze,Electric,Manual,1960437.63,2024-03-05,2024-05-26,Odisha,14.9,0,35.4,9.2,5,180.2,265
Tata Harrier,XZ+,Orange,Electric,Manual,2250252.54,2022-10-26,2023-02-17,Telangana,15.7,0,30.6,8.5,5,207.6,251
Tata Nexon,XM,Bronze,Diesel,Manual,1239055.21,2022-10-17,2023-01-10,Bihar,21.6,1.1,0,0,5,204.2,407
Tata Harrier,XE,Grey,Diesel,Manual,2251703.41,2023-10-13,2024-01-08,Kerala,15.0,1.1,0,0,7,187.8,443
Tata Altroz,XZ+ Lux,Silver,Petrol,Automatic,852810.03,2022-11-24,2023-01-08,West Bengal,19.5,1.9,0,0,5,197.3,331
Tata Punch,XM,Blue,Diesel,Automatic,797425.52,2024-03-24,2024-05-14,West Bengal,20.8,1.3,0,0,5,166.3,320
Tata Punch,XM,Black,Petrol,Automatic,861993.85,2022-12-31,2023-03-07,Kerala,21.2,1.8,0,0,5,201.1,386
Tata Harrier,XE,Grey,Petrol,Manual,1606648.22,2022-10-22,2023-04-17,Bihar,15.8,1.5,0,0,5,186.8,296
Tata Harrier,XZ+ Lux,Blue,Diesel,Automatic,1431551.0,2023-12-24,2024-01-24,Tamil Nadu,14.0,1.8,0,0,5,172.3,381
Tata Tiago,XM,Blue,Diesel,Manual,620853.61,2023-03-26,2023-06-20,Bihar,20.2,1.7,0,0,5,199.7,404
Tata Harrier,XM,Bronze,Petrol,Automatic,1797059.32,2023-09-30,2024-01-22,Gujarat,14.0,1.8,0,0,5,176.2,393
Tata Nexon,XZ,Grey,Diesel,Manual,733160.14,2023-10-16,2023-11-07,Telangana,19.1,1.1,0,0,5,208.2,396
Tata Harrier,XZ+ Lux,Orange,CNG,Manual,1539309.04,2023-02-05,2023-07-13,Telangana,16.3,1.9,0,0,5,191.4,400
Tata Safari,XZ,Orange,Petrol,Manual,2473839.05,2023-05-28,2023-07-06,Punjab,14.2,1.5,0,0,5,192.3,258
Tata Nexon,XZ,Orange,Diesel,Manual,788715.8,2023-03-18,2023-09-01,Karnataka,21.3,1.7,0,0,5,195.5,350
Tata Safari,XZ,Red,Petrol,Automatic,1823657.98,2023-05-24,2023-10-25,Rajasthan,15.5,1.2,0,0,7,175.7,393
Tata Nexon,XZ+,Grey,CNG,Manual,1177332.78,2023-11-04,2024-04-06,Kerala,19.3,1.7,0,0,5,169.3,277
Tata Tigor,XZ+,Blue,Diesel,Manual,643461.56,2024-04-06,2024-09-06,Rajasthan,23.7,1.2,0,0,5,193.7,403
Tata Altroz,XZ+,Copper,Diesel,Automatic,805666.11,2023-02-01,2023-02-04,Rajasthan,19.7,1.6,0,0,5,208.0,370
Tata Safari,XZ+,Bronze,CNG,Automatic,2228979.2,2023-10-18,2023-11-01,Haryana,16.3,1.0,0,0,7,167.3,283
Tata Harrier,XE,Copper,Petrol,Automatic,2144539.33,2023-01-29,2023-06-24,Madhya Pradesh,15.8,1.7,0,0,5,196.7,362
Tata Tiago,XM,Green,Petrol,Manual,530263.71,2023-11-01,2023-12-10,Punjab,19.2,1.3,0,0,5,169.5,423
Tata Harrier,XZ+,Silver,Petrol,Automatic,2366354.53,2023-06-30,2023-07-05,West Bengal,16.9,1.6,0,0,5,170.8,277
Tata Tiago,XZ+,Green,Petrol,Automatic,669408.1,2024-07-10,2024-10-02,Haryana,21.6,1.8,0,0,5,176.8,268
Tata Altroz,XZ+,Black,Electric,Manual,793079.79,2023-02-12,2023-04-11,Kerala,20.7,0,31.4,8.9,5,184.9,282
Tata Altroz,XZ+,Orange,Petrol,Automatic,761713.54,2024-06-18,2024-09-30,Delhi,22.0,1.7,0,0,5,174.3,352
Tata Nexon,XZ+,Green,Petrol,Manual,985637.51,2023-11-12,2024-03-01,Gujarat,19.9,1.5,0,0,5,173.0,379
Tata Tigor,XE,Black,Diesel,Manual,780000.08,2023-01-20,2023-01-26,Bihar,24.8,1.2,0,0,5,193.3,387
Tata Nexon,XM,Grey,Petrol,Manual,723102.88,2022-10-31,2023-04-20,Odisha,20.8,1.7,0,0,5,185.6,362
Tata Safari,XZ+ Lux,White,Petrol,Manual,2432913.72,2023-03-01,2023-04-19,Karnataka,15.7,1.7,0,0,5,190.9,405
Tata Tiago,XZ,Bronze,Petrol,Manual,642866.75,2024-08-03,2024-12-13,Tamil Nadu,25.0,1.1,0,0,5,192.2,450
Tata Altroz,XZ+,Black,Petrol,Manual,918416.82,2024-01-29,2024-07-12,Bihar,24.9,1.6,0,0,5,206.2,313
Tata Tiago,XZ+,Grey,Diesel,Automatic,663894.91,2023-08-26,2023-11-03,Delhi,21.6,1.8,0,0,5,184.6,374
Tata Tiago,XZ+ Lux,Red,Petrol,Automatic,597910.29,2024-09-01,2025-01-18,Uttar Pradesh,24.4,1.0,0,0,5,202.1,404
Tata Safari,XE,White,Petrol,Automatic,2372436.4,2022-09-25,2022-10-04,Kerala,15.7,1.7,0,0,7,167.7,424
Tata Tigor,XM,Bronze,Diesel,Manual,740378.66,2023-03-15,2023-07-04,Tamil Nadu,23.6,1.9,0,0,5,192.1,437
Tata Nexon,XE,Grey,Diesel,Manual,1146495.84,2024-06-28,2024-07-03,Uttar Pradesh,18.4,1.7,0,0,5,206.1,450
Tata Safari,XZ+ Lux,Red,Electric,Automatic,2370448.01,2023-09-01,2023-10-28,Gujarat,14.4,0,31.0,7.3,5,190.4,283
Tata Altroz,XM,Copper,Petrol,Automatic,825050.78,2024-04-11,2024-08-17,Gujarat,20.5,1.3,0,0,5,191.9,348
Tata Safari,XZ+ Lux,Copper,Petrol,Manual,1682287.72,2023-08-29,2023-12-29,Uttar Pradesh,15.1,1.3,0,0,7,199.5,447
Tata Altroz,XE,Green,Diesel,Manual,617179.16,2023-03-24,2023-06-18,Tamil Nadu,19.1,1.6,0,0,5,206.7,265
Tata Punch,XZ+,Grey,Diesel,Manual,700716.55,2024-02-04,2024-02-28,Gujarat,19.4,1.8,0,0,5,197.0,372
Tata Safari,XZ+ Lux,Orange,Diesel,Manual,2377174.78,2023-07-16,2023-10-09,West Bengal,14.8,1.4,0,0,7,169.9,427
Tata Harrier,XZ,Red,Petrol,Automatic,1928999.22,2023-02-25,2023-03-22,Maharashtra,15.7,1.7,0,0,7,197.9,400
Tata Punch,XZ,Grey,Diesel,Manual,713828.36,2023-01-05,2023-03-18,Madhya Pradesh,21.4,1.1,0,0,5,194.0,285
Tata Harrier,XZ,Green,Petrol,Manual,2060890.02,2023-03-23,2023-06-19,Punjab,14.3,1.6,0,0,7,180.8,269
Tata Punch,XZ+,Silver,Diesel,Manual,755878.45,2023-06-15,2023-06-29,Haryana,21.1,1.7,0,0,5,178.9,321
Tata Nexon,XM,Green,Diesel,Automatic,1183695.69,2022-12-16,2023-01-24,West Bengal,20.8,1.8,0,0,5,174.9,285
Tata Tiago,XZ,Green,Diesel,Manual,501074.06,2024-04-19,2024-09-15,Maharashtra,22.2,1.3,0,0,5,176.6,255
Tata Altroz,XZ,Blue,Electric,Manual,716238.75,2023-06-02,2023-11-09,Punjab,21.7,0,41.7,8.9,5,207.9,307
Tata Tigor,XE,Silver,Diesel,Automatic,764800.79,2024-05-15,2024-09-22,Uttar Pradesh,24.3,1.9,0,0,5,177.1,424
Tata Safari,XZ+,Blue,Petrol,Automatic,1747542.55,2023-11-15,2024-05-13,Punjab,14.8,1.2,0,0,7,177.6,393
Tata Safari,XZ+,Green,Diesel,Manual,2292267.35,2022-11-10,2023-04-18,Gujarat,15.1,1.6,0,0,7,183.5,429
Tata Nexon,XE,Silver,Petrol,Manual,1017786.66,2023-02-14,2023-03-17,Telangana,18.6,1.4,0,0,5,195.3,269
Tata Tiago,XZ+,Copper,Petrol,Automatic,555706.78,2024-01-05,2024-03-06,Bihar,22.8,1.5,0,0,5,179.3,400
Tata Nexon,XZ,Black,Petrol,Automatic,1139481.3,2023-10-09,2023-12-15,Bihar,18.7,1.3,0,0,5,205.2,256
Tata Tigor,XZ,Black,Petrol,Manual,908968.09,2024-03-10,2024-08-24,Kerala,21.5,1.4,0,0,5,195.8,420
Tata Nexon,XZ,Blue,CNG,Manual,1041480.05,2024-01-27,2024-04-19,Punjab,19.7,1.6,0,0,5,194.8,292
Tata Harrier,XM,Green,Electric,Automatic,1441936.81,2024-05-15,2024-08-16,Rajasthan,14.7,0,38.6,9.6,5,180.3,318
Tata Tiago,XE,Red,Diesel,Automatic,757098.64,2023-04-05,2023-09-22,Kerala,19.7,1.8,0,0,5,183.2,363
Tata Punch,XZ+,Black,Diesel,Automatic,637682.23,2023-03-20,2023-04-24,West Bengal,20.1,1.8,0,0,5,204.7,266
Tata Altroz,XZ+,Blue,Electric,Manual,715112.22,2023-09-16,2023-12-26,Rajasthan,20.9,0,32.1,9.6,5,168.0,333
Tata Tiago,XE,Silver,Diesel,Manual,693334.44,2022-09-22,2023-03-10,Gujarat,19.7,1.1,0,0,5,193.1,346
Tata Tiago,XE,Grey,Diesel,Automatic,714861.79,2023-11-16,2024-03-25,Rajasthan,25.2,1.0,0,0,5,203.2,449
Tata Harrier,XE,Green,Diesel,Manual,1716026.66,2024-05-25,2024-11-05,Karnataka,14.0,1.9,0,0,7,171.2,382
Tata Tiago,XZ+,Red,Diesel,Manual,773031.29,2023-06-25,2023-10-07,Tamil Nadu,23.4,1.3,0,0,5,181.6,385
Tata Altroz,XZ,Red,Electric,Automatic,867960.08,2024-03-14,2024-08-29,Gujarat,20.9,0,35.3,7.0,5,188.0,393
Tata Altroz,XE,Green,Diesel,Manual,705597.92,2024-05-18,2024-07-03,Delhi,21.9,1.2,0,0,5,210.0,449
Tata Tiago,XZ,Grey,Diesel,Manual,643126.6,2023-03-06,2023-04-11,Maharashtra,21.2,1.6,0,0,5,184.2,258
Tata Tiago,XZ,Orange,Petrol,Manual,673245.55,2022-12-24,2023-05-11,Delhi,21.7,1.5,0,0,5,186.4,379
Tata Harrier,XM,Orange,Petrol,Automatic,1435716.86,2024-03-11,2024-04-17,Rajasthan,14.9,1.9,0,0,7,173.6,396
Tata Nexon,XZ,Green,Electric,Automatic,1332851.12,2023-10-25,2024-04-19,Madhya Pradesh,17.3,0,49.1,6.9,5,204.6,388
Tata Tigor,XM,Bronze,Electric,Manual,913663.06,2023-10-31,2023-11-20,West Bengal,22.0,0,35.7,6.8,5,176.6,402
Tata Tiago,XZ+,Blue,Diesel,Automatic,715903.27,2023-10-18,2023-11-07,West Bengal,19.2,1.0,0,0,5,170.2,433
Tata Tiago,XZ,Bronze,Petrol,Manual,576912.86,2024-05-01,2024-09-23,Kerala,25.0,1.2,0,0,5,201.5,289
Tata Nexon,XZ+,White,Diesel,Automatic,978531.06,2023-08-18,2023-10-16,Odisha,16.6,1.8,0,0,5,195.6,285
Tata Nexon,XZ+ Lux,Orange,Diesel,Manual,1067322.88,2024-03-27,2024-09-14,Tamil Nadu,17.9,1.2,0,0,5,182.1,363
Tata Nexon,XM,Grey,Petrol,Automatic,1014201.97,2023-09-30,2023-11-10,Madhya Pradesh,18.6,1.7,0,0,5,190.6,427
Tata Tigor,XM,Bronze,Diesel,Manual,934006.48,2024-04-05,2024-08-31,Delhi,21.0,2.0,0,0,5,189.6,403
Tata Punch,XZ+,White,Electric,Manual,859985.12,2024-02-04,2024-05-30,Bihar,22.3,0,37.0,8.0,5,176.2,407
Tata Altroz,XE,Bronze,Diesel,Automatic,639864.04,2024-05-18,2024-09-08,Delhi,24.5,1.9,0,0,5,168.0,351
Tata Tiago,XZ,Silver,Diesel,Manual,721386.51,2024-09-08,2025-01-22,Karnataka,24.3,1.9,0,0,5,172.6,335
Tata Nexon,XE,Orange,Electric,Automatic,972762.62,2024-02-23,2024-07-27,Madhya Pradesh,18.7,0,40.2,8.5,5,171.3,349
Tata Tigor,XE,Blue,Diesel,Manual,670810.54,2024-04-08,2024-08-19,Delhi,23.3,1.0,0,0,5,187.1,417
Tata Safari,XZ+ Lux,Red,Petrol,Automatic,1685428.65,2024-02-28,2024-06-22,Maharashtra,16.0,1.4,0,0,5,206.7,423
Tata Safari,XE,Black,Electric,Manual,2480738.43,2023-11-30,2024-03-19,Rajasthan,16.1,0,49.4,8.3,5,190.6,302
Tata Tiago,XZ+ Lux,Orange,Petrol,Manual,556948.95,2024-01-01,2024-06-15,Kerala,25.8,1.6,0,0,5,169.2,250
Tata Punch,XZ+ Lux,Bronze,Petrol,Manual,789075.29,2024-07-11,2024-11-04,Karnataka,19.6,1.5,0,0,5,170.0,402
Tata Harrier,XM,Bronze,CNG,Manual,2089884.16,2024-06-29,2024-08-07,Kerala,16.3,1.1,0,0,7,178.0,395
